Adjustment Type,Asset ID,Asset Title,Asset Labels,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Artist,Album,Label,Administer Publish Rights,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,A642435640848175,Donde Estan,,,Sound Recording,190374024952_ARG991020092_22104475,,190374024952,,,,,no,39,0,0,0,0,0,0,0,0,0,0
None,A645418798946994,La Boa,,,Sound Recording,196006591748_ARG991033302_34798683,,196006591748,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A648243462861343,Te Quiero Demasiado,,,Sound Recording,191018253745_ARG991022372_24296264,,191018253745,,,,,no,11,0,0,0,0,0,0,0,0,0,0
None,A653608151507455,Esa Guacha,,,Sound Recording,889176942150_ARG991019443_19665854,,889176942150,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A654039358455195,Paloma blanca,,,Sound Recording,190374742177_ARG991021060_23401384,,190374742177,,,,,no,5,0,0,0,0,0,0,0,0,0,0
None,A656700760406395,Sunset,,,Sound Recording,190374652278_ARG991020700_23180926,,190374652278,,,,,no,21,0,0,0,0,0,0,0,0,0,0
None,A660706523223506,Los Pibes Chorros,,,Sound Recording,884385622640_ARG990900335_2858206,,884385622640,,,,,no,2,0,0,0,0,0,0,0,0,0,0
None,A661297147682207,El Crimen,,,Sound Recording,888002733948_ARG991016353_13243630,,888002733948,,,,,no,4,0,0,0,0,0,0,0,0,0,0
None,A667132924474889,Duraznito,,,Sound Recording,885686274002_ARG991007183_3068593,,885686274002,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A667657843127044,Que Vas a Hacer,,,Sound Recording,193483474373_ARG991027441_29738303,,193483474373,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A668523689330705,La Gata (Remix),,UCASvsDeDbHNAwXtHGyEoI6A,Art Track,,ARG991035103,196626521514,,Nico Vallorani DJ & La Rama & Emus DJ,,Magenta,no,4,0,0,0,0,0,0,0,0,0,0
None,A676798134183029,Otra ocupa mi lugar,,,Sound Recording,885686410677_ARG991010113_3233417,,885686410677,,,,,no,12,0,0,0,0,0,0,0,0,0,0
None,A677847208158302,(NO PUBLICAR - CONTENT ID) Erica Mientes tan bien dejemoslo asi   costumbres,,UCAKInMJc6MOUJigFGHeMluw,Music Video,YENi-JimJWQ,,,,Erica y Su Nueva Sonora,,,no,386,0,0,0,0,0,0,0,0,0,0
None,A691540914574448,Yo Soy Morena,,,Sound Recording,194491800833_ARG991029885_31113553,,194491800833,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A691609812047945,El Caracol,,,Sound Recording,196006603908_ARG991033281_34782561,,196006603908,,,,,no,3,0,0,0,0,0,0,0,0,0,0
None,A704834455611836,Ocho cuarenta,,,Sound Recording,885686387481_ARG991009838_3210804,,885686387481,,,,,no,7,0,0,0,0,0,0,0,0,0,0
None,A705672060100523,“Poliguampa”,,,Sound Recording,885686274002_ARG991007185_3068595,,885686274002,,,,,no,2,0,0,0,0,0,0,0,0,0,0
None,A712608788476188,Take It Easy,,,Sound Recording,190374652278_ARG991020692_23180918,,190374652278,,,,,no,9,0,0,0,0,0,0,0,0,0,0
None,A716588999039032,Me Vas Extrañar,,,Sound Recording,193483293486_ARG991027349_29470688,,193483293486,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A720870263097001,Porque te conoci,,UC0vYxCcfc9n60tFeOMlD5xA,Art Track,,ARG991034772,196626020079,,El Toque,,Magenta,no,2,0,0,0,0,0,0,0,0,0,0
None,A721545469707231,Disimula,,,Sound Recording,193483293486_ARG991027340_29469949,,193483293486,,,,,no,2,0,0,0,0,0,0,0,0,0,0
None,A724496139255106,Asi Lo Quiso Dios,,,Sound Recording,196292735666_ARG991034557_35764091,,196292735666,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A726060856485196,Cada Vez Te Quiero Mas,,,Sound Recording,193483293486_ARG991027341_29469950,,193483293486,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A730522509354011,El Gordo Luis- Amiga │ Video Lyric,,UCAKInMJc6MOUJigFGHeMluw,Music Video,vUeQGn3Lwck,,,,El Gordo Luis,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A730902235672302,Au revoir Tucuman,,,Sound Recording,885686267585_ARG991006951_3065207,,885686267585,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A732405301311227,Puerto Montt / Te Lo Pido de Rodillas / Va Cayendo una Lagrima,,,Sound Recording,193483563879_ARG991027628_29842539,,193483563879,,,,,no,27,0,0,0,0,0,0,0,0,0,0
None,A733214937623390,Soltera Soltinha,,,Sound Recording,190374166546_ARG991020358_22426531,,190374166546,,,,,no,2,0,0,0,0,0,0,0,0,0,0
None,A735680226934421,Voie sur les vallées,,,Sound Recording,885686267585_ARG991006958_3065214,,885686267585,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A741418881662531,Me Re Cabio,,,Sound Recording,191018329518_ARG991022487_24442063,,191018329518,,,,,no,16,0,0,0,0,0,0,0,0,0,0
None,A756319957818500,Mi Dolor,,,Sound Recording,196006960285_ARG991033966_35201243,,196006960285,,,,,no,15,0,0,0,0,0,0,0,0,0,0
None,A760688587843291,Warm Up,,,Sound Recording,190374652278_ARG991020699_23180925,,190374652278,,,,,no,12,0,0,0,0,0,0,0,0,0,0
None,A772823657504124,Caso cerrado,,,Sound Recording,196626512178_ARG991035124,ARG991035124,196626512178,,Grupo Bandy2,Inmortales,,no,2,0,0,0,0,0,0,0,0,0,0
None,A776726748454414,Samba de una Nota So,,,Sound Recording,886788796218_ARG991013826_5033699,,886788796218,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A788719462624942,Dime Si Eres Feliz (Remix),,,Sound Recording,195081931210_ARG991031284_31993836,,195081931210,,,,,no,16,0,0,0,0,0,0,0,0,0,0
None,A791658437710022,La Danza de los Mirlos (En Vivo),,,Sound Recording,191018316877_ARG991022476_24412875,,191018316877,,,,,no,10,0,0,0,0,0,0,0,0,0,0
None,A803353685093631,Gaby Fofo y Miliki la Gallina Turuleca Piñon Fijo,,,Sound Recording,196006368210_ARG991032771_34613706,,196006368210,,,,,no,4,0,0,0,0,0,0,0,0,0,0
None,A808815807366538,Eduardo Franco el Triunfador,,,Sound Recording,885686297308_ARG991007928_3117961,,885686297308,,,,,no,16,0,0,0,0,0,0,0,0,0,0
None,A809535983523797,Linda mañana,,,Sound Recording,196626382351_ARG991035074,ARG991035074,196626382351,,La Ihuana Mary,A pulmón!!,Magenta,no,1,0,0,0,0,0,0,0,0,0,0
None,A809673695483951,Yo Tengo el Don,,,Sound Recording,195081409979_ARG991030664_31501553,,195081409979,,,,,no,21,0,0,0,0,0,0,0,0,0,0
None,A812143882570389,Sentado en la Esquina (Bonus Track),,,Sound Recording,191018341831_ARG991022577_24461672,,191018341831,,,,,no,7,0,0,0,0,0,0,0,0,0,0
None,A823429998137925,Dejame,,UCRiniIvnWGpxcVEA3mO6Upw,Art Track,,ARG991035070,196626382351,,La Ihuana Mary,,Magenta,no,10,0,0,0,0,0,0,0,0,0,0
None,A826101579163118,Con el Viento a Tu Favor,,,Sound Recording,192562880098_ARG991026681_28241865,,192562880098,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A828012988523075,Fuego y Pasion,,,Sound Recording,886788073739_ARG991012360_4159186,,886788073739,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A839406677039816,Desesperada,,,Sound Recording,191018270186_ARG991022440_24325579,,191018270186,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A843633445999358,Puerto vacio,,,Sound Recording,885686297308_ARG991007946_3117979,,885686297308,,,,,no,24,0,0,0,0,0,0,0,0,0,0
None,A850527457705774,Tumba la Casa vs Casa Sola,,,Sound Recording,191773309145_ARG991024739_25872777,,191773309145,,,,,no,17,0,0,0,0,0,0,0,0,0,0
None,A852786757580863,Huella Triste,,,Sound Recording,884385621766_ARG990900771_2382942,,884385621766,,,,,no,9,0,0,0,0,0,0,0,0,0,0
None,A855309255056699,Vuelve pronto,,,Sound Recording,885686297308_ARG991007945_3117978,,885686297308,,,,,no,12,0,0,0,0,0,0,0,0,0,0
None,A856183704060884,El Orangután,,,Sound Recording,196006591748_ARG991033297_34798678,,196006591748,,,,,no,1,0,0,0,0,0,0,0,0,0,0
